time,actual x,actual y,actual z,actual R,actual P,actual Y
9.68,0.463244,-0.602453,1.38057,-0.0012016,0.046913,-1.63511
9.7,0.463905,-0.603272,1.38349,-0.000694115,0.0345105,-1.63422
9.79,0.464972,-0.604343,1.38383,-0.000498876,0.0302547,-1.63574
9.882,0.466277,-0.603188,1.3822,-0.000904365,0.0392432,-1.63507
9.94,0.466877,-0.603018,1.38342,-0.00069217,0.0342122,-1.63443
9.96,0.467429,-0.602282,1.38092,-0.0012452,0.0452698,-1.63513
10.046,0.468828,-0.604111,1.38342,-0.000734884,0.0325273,-1.636
10.138,0.470154,-0.603258,1.38241,-0.00107917,0.039415,-1.63555
10.23,0.471242,-0.602792,1.38084,-0.00139403,0.046112,-1.63585
10.24,0.471242,-0.602792,1.38084,-0.00139403,0.046112,-1.63585
10.26,0.472136,-0.603404,1.38382,-0.000827093,0.0341203,-1.6345
10.301,0.472579,-0.603743,1.38236,-0.00117329,0.0396209,-1.63761
10.395,0.474429,-0.603976,1.38371,-0.00085261,0.0341859,-1.63582
10.482,0.475626,-0.60364,1.38175,-0.0012993,0.0430758,-1.63563
10.54,0.476177,-0.603972,1.38352,-0.000952754,0.0353792,-1.63542
10.56,0.476869,-0.603335,1.38068,-0.00160682,0.046882,-1.63604
10.646,0.47846,-0.604731,1.38333,-0.000889163,0.0334056,-1.63628
10.734,0.479682,-0.604077,1.3825,-0.00115511,0.0387511,-1.63568
10.826,0.481019,-0.603792,1.3812,-0.00145485,0.0447279,-1.63528
10.88,0.481292,-0.604258,1.38372,-0.000709652,0.0331454,-1.63459
10.9,0.48197,-0.603568,1.38137,-0.00141401,0.0438311,-1.63505
10.993,0.482641,-0.605123,1.38365,-0.000768516,0.0311191,-1.63544
11.085,0.483729,-0.603951,1.38197,-0.00133599,0.0396096,-1.6349
11.1,0.483729,-0.603951,1.38197,-0.00133599,0.0396096,-1.6349
11.12,0.48432,-0.603804,1.38356,-0.00101221,0.0339304,-1.6342
11.209,0.485399,-0.604928,1.38424,-0.000779825,0.0296156,-1.63612
11.305,0.486891,-0.604228,1.38224,-0.00148629,0.0398691,-1.63551
11.36,0.487372,-0.604335,1.38334,-0.00121397,0.0353833,-1.63491
11.38,0.488214,-0.603581,1.38091,-0.00189456,0.0453811,-1.63562
11.465,0.489842,-0.605433,1.38353,-0.000999872,0.0319963,-1.63621
11.553,0.491571,-0.60479,1.38251,-0.00148843,0.0384351,-1.63522
11.644,0.493471,-0.604938,1.3829,-0.00136018,0.0374757,-1.63461
11.7,0.493484,-0.604213,1.38228,-0.00138918,0.0383175,-1.63588
11.72,0.494127,-0.603866,1.38052,-0.00199058,0.046195,-1.63578
11.811,0.495756,-0.60582,1.38363,-0.000950487,0.0316351,-1.6364
11.9,0.497542,-0.605187,1.38342,-0.00122754,0.0358961,-1.63511
11.9,0.497542,-0.605187,1.38342,-0.00122754,0.0358961,-1.63511
11.9,0.497542,-0.605187,1.38342,-0.00122754,0.0358961,-1.63511
11.9,0.497542,-0.605187,1.38342,-0.00122754,0.0358961,-1.63511
11.9,0.497542,-0.605187,1.38342,-0.00122754,0.0358961,-1.63511
11.9,0.497542,-0.605187,1.38342,-0.00122754,0.0358961,-1.63511
11.9,0.497542,-0.605187,1.38342,-0.00122754,0.0358961,-1.63511
11.96,0.497783,-0.605137,1.38349,-0.00105124,0.0346918,-1.63507
11.98,0.498176,-0.605267,1.38315,-0.00117371,0.0360508,-1.6348
12.07,0.499332,-0.606175,1.38343,-0.00110687,0.0329778,-1.63592
12.158,0.500398,-0.605337,1.3819,-0.00177548,0.0410312,-1.6349
12.25,0.501964,-0.605388,1.38205,-0.00187801,0.0408786,-1.63459
12.26,0.501964,-0.605388,1.38205,-0.00187801,0.0408786,-1.63459
12.28,0.501948,-0.605411,1.38386,-0.00119661,0.0327761,-1.63405
12.374,0.503009,-0.606288,1.38419,-0.000944371,0.0296908,-1.63589
12.461,0.504484,-0.605557,1.38189,-0.00189119,0.0408129,-1.63542
12.52,0.505429,-0.605291,1.38171,-0.00188758,0.0412035,-1.63556
12.54,0.505429,-0.605291,1.38171,-0.00188758,0.0412035,-1.63556
12.628,0.507372,-0.606847,1.38343,-0.00109299,0.0318053,-1.63629
12.722,0.508654,-0.605944,1.38216,-0.00169094,0.0390785,-1.63568
12.78,0.509157,-0.605813,1.38355,-0.00116351,0.0334991,-1.63509
12.8,0.510008,-0.605333,1.38147,-0.00207124,0.0432788,-1.63541
12.886,0.511278,-0.606844,1.38348,-0.00116383,0.0324037,-1.63596
12.974,0.512736,-0.606108,1.3824,-0.00179308,0.0390696,-1.63513
13.06,0.513965,-0.605601,1.38095,-0.00235244,0.0452408,-1.63517
13.12,0.514502,-0.60612,1.38345,-0.0012593,0.0338476,-1.63454
13.14,0.514651,-0.605201,1.38053,-0.00244033,0.0468792,-1.6359
13.228,0.516557,-0.607161,1.38349,-0.00121511,0.0320071,-1.63595
13.28,0.517277,-0.606584,1.38283,-0.00154152,0.0356374,-1.63536
13.3,0.517277,-0.606584,1.38283,-0.00154152,0.0356374,-1.63536
13.391,0.518858,-0.607043,1.38293,-0.00193418,0.038056,-1.63667
13.48,0.52047,-0.606402,1.38179,-0.00205868,0.0395987,-1.63558
13.571,0.522593,-0.606501,1.38219,-0.00230794,0.0418387,-1.63543
13.58,0.522593,-0.606501,1.38219,-0.00230794,0.0418387,-1.63543
13.6,0.522593,-0.606501,1.38219,-0.00230794,0.0418387,-1.63543
13.687,0.523808,-0.608006,1.38266,-0.00180873,0.0365991,-1.63665
13.782,0.525648,-0.607591,1.38334,-0.00168174,0.0352258,-1.63535
13.84,0.525723,-0.606892,1.38212,-0.00205929,0.0407796,-1.63619
13.86,0.526348,-0.606833,1.38034,-0.0028982,0.0474131,-1.6364
13.946,0.527757,-0.607854,1.38336,-0.00145007,0.033035,-1.63665
14.038,0.529212,-0.60742,1.38229,-0.00214078,0.038837,-1.63574
14.126,0.531121,-0.60729,1.38209,-0.00235061,0.0409001,-1.63459
14.14,0.531121,-0.60729,1.38209,-0.00235061,0.0409001,-1.63459
14.16,0.531121,-0.60729,1.38209,-0.00235061,0.0409001,-1.63459
14.246,0.532626,-0.608309,1.38381,-0.00125205,0.0307818,-1.63567
14.338,0.534463,-0.607946,1.38193,-0.00231411,0.0400436,-1.63458
14.426,0.536075,-0.607781,1.38187,-0.00239571,0.0413738,-1.63404
14.44,0.536075,-0.607781,1.38187,-0.00239571,0.0413738,-1.63404
14.46,0.535989,-0.607926,1.38351,-0.00150203,0.0340498,-1.63417
14.545,0.537267,-0.609058,1.38236,-0.00203347,0.0367049,-1.63557
14.637,0.538487,-0.607542,1.38147,-0.0025568,0.0416784,-1.63462
14.725,0.540572,-0.607671,1.38156,-0.00283662,0.0432672,-1.63434
14.74,0.540572,-0.607671,1.38156,-0.00283662,0.0432672,-1.63434
14.76,0.540572,-0.607671,1.38156,-0.00283662,0.0432672,-1.63434
14.845,0.541827,-0.608915,1.38243,-0.00221659,0.0373164,-1.63659
14.937,0.543022,-0.607947,1.38172,-0.00259015,0.0413593,-1.63584
15.025,0.54525,-0.608102,1.38215,-0.00279062,0.0413292,-1.63503
15.04,0.54525,-0.608102,1.38215,-0.00279062,0.0413292,-1.63503
15.06,0.54525,-0.608102,1.38215,-0.00279062,0.0413292,-1.63503
15.145,0.546566,-0.609345,1.3823,-0.00239835,0.0384861,-1.63664
15.233,0.547875,-0.608563,1.38149,-0.00279844,0.0417934,-1.63595
15.325,0.550245,-0.608831,1.38263,-0.00237452,0.0380165,-1.63434
15.38,0.549914,-0.608043,1.38225,-0.00231649,0.0387202,-1.636
15.4,0.549914,-0.608043,1.38225,-0.00231649,0.0387202,-1.636
15.491,0.551616,-0.609671,1.38316,-0.00216794,0.036561,-1.63635
15.582,0.553278,-0.608679,1.38309,-0.00200321,0.0356588,-1.63447
15.64,0.553331,-0.608244,1.3817,-0.00247698,0.0404643,-1.63454
15.66,0.553331,-0.608244,1.3817,-0.00247698,0.0404643,-1.63454
15.749,0.554666,-0.609774,1.38274,-0.00253669,0.0381296,-1.6367
15.841,0.556756,-0.608759,1.38327,-0.00208759,0.0346243,-1.6343
15.9,0.5567,-0.608502,1.38358,-0.00182831,0.0331555,-1.63441
15.92,0.5567,-0.608502,1.38358,-0.00182831,0.0331555,-1.63441
16.009,0.559094,-0.61006,1.38349,-0.00167263,0.0315561,-1.63606
16.097,0.560808,-0.609182,1.38194,-0.0028714,0.039584,-1.63523
16.14,0.561443,-0.608528,1.38128,-0.00311354,0.0422408,-1.63601
16.2,0.562051,-0.608582,1.37998,-0.00407121,0.0490324,-1.63634
16.22,0.563272,-0.609954,1.38343,-0.00223616,0.0346874,-1.63543
16.308,0.565124,-0.610508,1.38304,-0.00208177,0.0340853,-1.63516
16.4,0.565997,-0.609155,1.38155,-0.00293957,0.0406616,-1.63541
16.492,0.56834,-0.609501,1.38156,-0.00342011,0.04312,-1.63495
16.5,0.56834,-0.609501,1.38156,-0.00342011,0.04312,-1.63495
16.52,0.568479,-0.609805,1.38366,-0.00210522,0.0342463,-1.63459
16.607,0.569682,-0.610974,1.38329,-0.00203704,0.033444,-1.63542
16.699,0.570512,-0.610408,1.38204,-0.00298201,0.0400217,-1.63549
16.791,0.57099,-0.609648,1.38064,-0.00398723,0.0473777,-1.63632
16.8,0.57099,-0.609648,1.38064,-0.00398723,0.0473777,-1.63632
16.82,0.572106,-0.610357,1.38341,-0.00210652,0.0342734,-1.63368
16.911,0.573512,-0.611453,1.38303,-0.00213477,0.0332805,-1.63483
