time,actual x,actual y,actual z,actual R,actual P,actual Y
11.014,1.2828,0.0775158,1.3814,-0.00138421,0.0438793,0.0405229
11.102,1.28338,0.0780641,1.38231,-0.00154315,0.0404982,0.0421456
11.116,1.28338,0.0780641,1.38231,-0.00154315,0.0404982,0.0421456
11.136,1.28338,0.0780641,1.38231,-0.00154315,0.0404982,0.0421456
11.218,1.28317,0.0757243,1.38332,-0.00113962,0.0346589,0.0389721
11.307,1.28301,0.0768868,1.38257,-0.00102848,0.0393128,0.0407594
11.395,1.28323,0.0767186,1.38154,-0.00119268,0.0439182,0.041135
11.487,1.28339,0.077044,1.38048,-0.00154553,0.0475328,0.0409758
11.496,1.28339,0.077044,1.38048,-0.00154553,0.0475328,0.0409758
11.516,1.28411,0.076295,1.38375,-0.00089445,0.0341551,0.0398569
11.603,1.28375,0.0755102,1.38281,-0.00100081,0.0376703,0.0395209
11.691,1.28407,0.0758919,1.38198,-0.00111277,0.0425038,0.0399766
11.779,1.28433,0.0759953,1.38067,-0.0013905,0.0465336,0.0397462
11.836,1.28461,0.0753648,1.38143,-0.00093073,0.0422564,0.0392249
11.836,1.28461,0.0753648,1.38143,-0.00093073,0.0422564,0.0392249
11.856,1.28461,0.0753648,1.38143,-0.00093073,0.0422564,0.0392249
11.941,1.28373,0.0748863,1.38242,-0.000790257,0.0398131,0.0382522
12.033,1.28389,0.0754665,1.38306,-0.000782897,0.040244,0.0385249
12.121,1.28377,0.0759597,1.38208,-0.000997054,0.0419482,0.0390224
12.136,1.28377,0.0759597,1.38208,-0.000997054,0.0419482,0.0390224
12.156,1.28377,0.0759597,1.38208,-0.000997054,0.0419482,0.0390224
12.197,1.28402,0.0756521,1.38241,-0.000810034,0.0339571,0.0431088
12.289,1.28342,0.075876,1.38354,-0.000749862,0.0352545,0.0394139
12.381,1.28326,0.0769039,1.38205,-0.00124354,0.0420397,0.0400301
12.436,1.28395,0.0774166,1.38301,-0.00106882,0.0364993,0.0406657
12.456,1.28395,0.0774166,1.38301,-0.00106882,0.0364993,0.0406657
12.497,1.28324,0.0773839,1.38115,-0.00127022,0.0451305,0.0411659
12.589,1.28365,0.0766239,1.38319,-0.000664095,0.0354118,0.0403557
12.636,1.28369,0.0768516,1.38244,-0.000685851,0.0384495,0.0404588
12.696,1.28337,0.0767663,1.38064,-0.000992133,0.0459289,0.0406709
12.716,1.28374,0.0756643,1.38332,-0.000632514,0.0356314,0.0389526
12.804,1.28369,0.0757901,1.38306,-0.000576111,0.0358548,0.0392602
12.896,1.28377,0.0768285,1.38224,-0.000699275,0.0410657,0.0399826
12.956,1.28444,0.0774981,1.3828,-0.000614528,0.0367856,0.0412241
12.976,1.28387,0.0767452,1.38117,-0.000888444,0.0447139,0.0396568
13.068,1.28326,0.0744727,1.38412,-0.000407983,0.0341031,0.0373491
13.16,1.28381,0.0764851,1.3828,-0.000579912,0.0392506,0.0398967
13.216,1.28416,0.0768265,1.38305,-0.000524005,0.0368854,0.040598
13.236,1.28351,0.076576,1.38167,-0.000691522,0.0434792,0.0397158
13.324,1.28304,0.0747012,1.38424,-0.000558731,0.0346521,0.0376452
13.412,1.28384,0.0760545,1.38195,-0.000763268,0.0428042,0.0394664
